equity,position,xgb_signal,ppo_signal,sentiment_signal,pnl,period,peak,drawdown
1.548766468693788,0,-1,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,0,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,0,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,0,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,0,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,0,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,0,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,0,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,0,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,-1,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,-1,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,-1,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,-1,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,-1,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,-1,-1,1,-0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,-1,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
1.548766468693788,0,1,-1,1,0.0,IS,1.5503167854792674,-0.0010000000000000009
